food_id,food_name,category,serving_size,calories_kcal_est,protein_g_est,carbohydrates_g_est,fat_g_est,fiber_g_est,sugar_g_est,sodium_mg_est,calcium_mg_est,iron_mg_est,vitamin_c_mg_est,vitamin_a_ug_est,vegetarian,vegan,data_type,source_note
FERA00001,Brown rice,Cereals & Grains,25 g/ml,90.6,2.47,19.78,0.82,1.92,1.98,43.9,22,0.33,0.3,5.5,Yes,Yes,PROTOTYPE_ESTIMATE,Generated estimate for FIT ERA development; replace with verified reference values before clinical/commercial nutrition use.
FERA00002,Brown rice,Cereals & Grains,50 g/ml,181.3,4.94,39.55,1.65,3.85,3.96,87.9,43.9,0.66,0.5,11,Yes,Yes,PROTOTYPE_ESTIMATE,Generated estimate for FIT ERA development; replace with verified reference values before clinical/commercial nutrition use.
FERA00003,Brown rice,Cereals & Grains,100 g/ml,362.5,9.89,79.1,3.3,7.69,7.91,175.8,87.9,1.32,1.1,22,Yes,Yes,PROTOTYPE_ESTIMATE,Generated estimate for FIT ERA development; replace with verified reference values before clinical/commercial nutrition use.
FERA00004,Brown rice,Cereals & Grains,150 g/ml,543.8,14.83,118.65,4.94,11.54,11.87,263.7,131.8,1.98,1.6,33,Yes,Yes,PROTOTYPE_ESTIMATE,Generated estimate for FIT ERA development; replace with verified reference values before clinical/commercial nutrition use.
FERA00005,Brown rice,Cereals & Grains,200 g/ml,725.1,19.78,158.2,6.59,15.38,15.82,351.6,175.8,2.64,2.2,43.9,Yes,Yes,PROTOTYPE_ESTIMATE,Generated estimate for FIT ERA development; replace with verified reference values before clinical/commercial nutrition use.
FERA00006,White rice,Cereals & Grains,25 g/ml,80.7,2.2,17.6,0.73,1.71,1.76,39.1,19.6,0.29,0.2,4.9,Yes,Yes,PROTOTYPE_ESTIMATE,Generated estimate for FIT ERA development; replace with verified reference values before clinical/commercial nutrition use.
FERA00007,White rice,Cereals & Grains,50 g/ml,161.4,4.4,35.21,1.47,3.42,3.52,78.2,39.1,0.59,0.5,9.8,Yes,Yes,PROTOTYPE_ESTIMATE,Generated estimate for FIT ERA development; replace with verified reference values before clinical/commercial nutrition use.
FERA00008,White rice,Cereals & Grains,100 g/ml,322.7,8.8,70.42,2.93,6.85,7.04,156.5,78.2,1.17,1,19.6,Yes,Yes,PROTOTYPE_ESTIMATE,Generated estimate for FIT ERA development; replace with verified reference values before clinical/commercial nutrition use.
FERA00009,White rice,Cereals & Grains,150 g/ml,484.1,13.2,105.62,4.4,10.27,10.56,234.7,117.4,1.76,1.5,29.3,Yes,Yes,PROTOTYPE_ESTIMATE,Generated estimate for FIT ERA development; replace with verified reference values before clinical/commercial nutrition use.
FERA00010,White rice,Cereals & Grains,200 g/ml,645.5,17.6,140.83,5.87,13.69,14.08,313,156.5,2.35,2,39.1,Yes,Yes,PROTOTYPE_ESTIMATE,Generated estimate for FIT ERA development; replace with verified reference values before clinical/commercial nutrition use.
FERA00011,Basmati rice,Cereals & Grains,25 g/ml,93.2,2.54,20.32,0.85,1.98,2.03,45.2,22.6,0.34,0.3,5.6,Yes,Yes,PROTOTYPE_ESTIMATE,Generated estimate for FIT ERA development; replace with verified reference values before clinical/commercial nutrition use.
FERA00012,Basmati rice,Cereals & Grains,50 g/ml,186.3,5.08,40.65,1.69,3.95,4.06,90.3,45.2,0.68,0.6,11.3,Yes,Yes,PROTOTYPE_ESTIMATE,Generated estimate for FIT ERA development; replace with verified reference values before clinical/commercial nutrition use.
FERA00013,Basmati rice,Cereals & Grains,100 g/ml,372.6,10.16,81.29,3.39,7.9,8.13,180.7,90.3,1.35,1.1,22.6,Yes,Yes,PROTOTYPE_ESTIMATE,Generated estimate for FIT ERA development; replace with verified reference values before clinical/commercial nutrition use.
FERA00014,Basmati rice,Cereals & Grains,150 g/ml,558.9,15.24,121.94,5.08,11.86,12.19,271,135.5,2.03,1.7,33.9,Yes,Yes,PROTOTYPE_ESTIMATE,Generated estimate for FIT ERA development; replace with verified reference values before clinical/commercial nutrition use.
FERA00015,Basmati rice,Cereals & Grains,200 g/ml,745.2,20.32,162.59,6.77,15.81,16.26,361.3,180.7,2.71,2.3,45.2,Yes,Yes,PROTOTYPE_ESTIMATE,Generated estimate for FIT ERA development; replace with verified reference values before clinical/commercial nutrition use.
FERA00016,Red rice,Cereals & Grains,25 g/ml,88.4,2.41,19.28,0.8,1.87,1.93,42.8,21.4,0.32,0.3,5.4,Yes,Yes,PROTOTYPE_ESTIMATE,Generated estimate for FIT ERA development; replace with verified reference values before clinical/commercial nutrition use.
FERA00017,Red rice,Cereals & Grains,50 g/ml,176.7,4.82,38.56,1.61,3.75,3.86,85.7,42.8,0.64,0.5,10.7,Yes,Yes,PROTOTYPE_ESTIMATE,Generated estimate for FIT ERA development; replace with verified reference values before clinical/commercial nutrition use.
FERA00018,Red rice,Cereals & Grains,100 g/ml,353.4,9.64,77.12,3.21,7.5,7.71,171.4,85.7,1.29,1.1,21.4,Yes,Yes,PROTOTYPE_ESTIMATE,Generated estimate for FIT ERA development; replace with verified reference values before clinical/commercial nutrition use.
FERA00019,Red rice,Cereals & Grains,150 g/ml,530.2,14.46,115.67,4.82,11.25,11.57,257.1,128.5,1.93,1.6,32.1,Yes,Yes,PROTOTYPE_ESTIMATE,Generated estimate for FIT ERA development; replace with verified reference values before clinical/commercial nutrition use.
FERA00020,Red rice,Cereals & Grains,200 g/ml,706.9,19.28,154.23,6.43,14.99,15.42,342.7,171.4,2.57,2.1,42.8,Yes,Yes,PROTOTYPE_ESTIMATE,Generated estimate for FIT ERA development; replace with verified reference values before clinical/commercial nutrition use.
FERA00021,Black rice,Cereals & Grains,25 g/ml,70.4,1.92,15.37,0.64,1.49,1.54,34.2,17.1,0.26,0.2,4.3,Yes,Yes,PROTOTYPE_ESTIMATE,Generated estimate for FIT ERA development; replace with verified reference values before clinical/commercial nutrition use.
FERA00022,Black rice,Cereals & Grains,50 g/ml,140.9,3.84,30.74,1.28,2.99,3.07,68.3,34.2,0.51,0.4,8.5,Yes,Yes,PROTOTYPE_ESTIMATE,Generated estimate for FIT ERA development; replace with verified reference values before clinical/commercial nutrition use.
FERA00023,Black rice,Cereals & Grains,100 g/ml,281.8,7.69,61.48,2.56,5.98,6.15,136.6,68.3,1.02,0.9,17.1,Yes,Yes,PROTOTYPE_ESTIMATE,Generated estimate for FIT ERA development; replace with verified reference values before clinical/commercial nutrition use.
FERA00024,Black rice,Cereals & Grains,150 g/ml,422.7,11.53,92.22,3.84,8.97,9.22,204.9,102.5,1.54,1.3,25.6,Yes,Yes,PROTOTYPE_ESTIMATE,Generated estimate for FIT ERA development; replace with verified reference values before clinical/commercial nutrition use.
FERA00025,Black rice,Cereals & Grains,200 g/ml,563.6,15.37,122.96,5.12,11.95,12.3,273.2,136.6,2.05,1.7,34.2,Yes,Yes,PROTOTYPE_ESTIMATE,Generated estimate for FIT ERA development; replace with verified reference values before clinical/commercial nutrition use.
FERA00026,Parboiled rice,Cereals & Grains,25 g/ml,96.6,2.64,21.08,0.88,2.05,2.11,46.8,23.4,0.35,0.3,5.9,Yes,Yes,PROTOTYPE_ESTIMATE,Generated estimate for FIT ERA development; replace with verified reference values before clinical/commercial nutrition use.
FERA00027,Parboiled rice,Cereals & Grains,50 g/ml,193.3,5.27,42.16,1.76,4.1,4.22,93.7,46.8,0.7,0.6,11.7,Yes,Yes,PROTOTYPE_ESTIMATE,Generated estimate for FIT ERA development; replace with verified reference values before clinical/commercial nutrition use.
FERA00028,Parboiled rice,Cereals & Grains,100 g/ml,386.5,10.54,84.33,3.51,8.2,8.43,187.4,93.7,1.41,1.2,23.4,Yes,Yes,PROTOTYPE_ESTIMATE,Generated estimate for FIT ERA development; replace with verified reference values before clinical/commercial nutrition use.
FERA00029,Parboiled rice,Cereals & Grains,150 g/ml,579.8,15.81,126.49,5.27,12.3,12.65,281.1,140.5,2.11,1.8,35.1,Yes,Yes,PROTOTYPE_ESTIMATE,Generated estimate for FIT ERA development; replace with verified reference values before clinical/commercial nutrition use.
FERA00030,Parboiled rice,Cereals & Grains,200 g/ml,773,21.08,168.66,7.03,16.4,16.87,374.8,187.4,2.81,2.3,46.8,Yes,Yes,PROTOTYPE_ESTIMATE,Generated estimate for FIT ERA development; replace with verified reference values before clinical/commercial nutrition use.
FERA00031,Jasmine rice,Cereals & Grains,25 g/ml,90.3,2.46,19.69,0.82,1.91,1.97,43.8,21.9,0.33,0.3,5.5,Yes,Yes,PROTOTYPE_ESTIMATE,Generated estimate for FIT ERA development; replace with verified reference values before clinical/commercial nutrition use.
FERA00032,Jasmine rice,Cereals & Grains,50 g/ml,180.5,4.92,39.38,1.64,3.83,3.94,87.5,43.8,0.66,0.5,10.9,Yes,Yes,PROTOTYPE_ESTIMATE,Generated estimate for FIT ERA development; replace with verified reference values before clinical/commercial nutrition use.
FERA00033,Jasmine rice,Cereals & Grains,100 g/ml,361,9.85,78.77,3.28,7.66,7.88,175,87.5,1.31,1.1,21.9,Yes,Yes,PROTOTYPE_ESTIMATE,Generated estimate for FIT ERA development; replace with verified reference values before clinical/commercial nutrition use.
FERA00034,Jasmine rice,Cereals & Grains,150 g/ml,541.5,14.77,118.15,4.92,11.49,11.82,262.6,131.3,1.97,1.6,32.8,Yes,Yes,PROTOTYPE_ESTIMATE,Generated estimate for FIT ERA development; replace with verified reference values before clinical/commercial nutrition use.
FERA00035,Jasmine rice,Cereals & Grains,200 g/ml,722,19.69,157.54,6.56,15.32,15.75,350.1,175,2.63,2.2,43.8,Yes,Yes,PROTOTYPE_ESTIMATE,Generated estimate for FIT ERA development; replace with verified reference values before clinical/commercial nutrition use.
FERA00036,Millet,Cereals & Grains,25 g/ml,91,2.48,19.85,0.83,1.93,1.99,44.1,22.1,0.33,0.3,5.5,Yes,Yes,PROTOTYPE_ESTIMATE,Generated estimate for FIT ERA development; replace with verified reference values before clinical/commercial nutrition use.
FERA00037,Millet,Cereals & Grains,50 g/ml,182,4.96,39.71,1.65,3.86,3.97,88.2,44.1,0.66,0.6,11,Yes,Yes,PROTOTYPE_ESTIMATE,Generated estimate for FIT ERA development; replace with verified reference values before clinical/commercial nutrition use.
FERA00038,Millet,Cereals & Grains,100 g/ml,364,9.93,79.41,3.31,7.72,7.94,176.5,88.2,1.32,1.1,22.1,Yes,Yes,PROTOTYPE_ESTIMATE,Generated estimate for FIT ERA development; replace with verified reference values before clinical/commercial nutrition use.
FERA00039,Millet,Cereals & Grains,150 g/ml,546,14.89,119.12,4.96,11.58,11.91,264.7,132.4,1.99,1.7,33.1,Yes,Yes,PROTOTYPE_ESTIMATE,Generated estimate for FIT ERA development; replace with verified reference values before clinical/commercial nutrition use.
FERA00040,Millet,Cereals & Grains,200 g/ml,728,19.85,158.83,6.62,15.44,15.88,353,176.5,2.65,2.2,44.1,Yes,Yes,PROTOTYPE_ESTIMATE,Generated estimate for FIT ERA development; replace with verified reference values before clinical/commercial nutrition use.
FERA00041,Pearl millet,Cereals & Grains,25 g/ml,71.5,1.95,15.59,0.65,1.52,1.56,34.6,17.3,0.26,0.2,4.3,Yes,Yes,PROTOTYPE_ESTIMATE,Generated estimate for FIT ERA development; replace with verified reference values before clinical/commercial nutrition use.
FERA00042,Pearl millet,Cereals & Grains,50 g/ml,142.9,3.9,31.18,1.3,3.03,3.12,69.3,34.6,0.52,0.4,8.7,Yes,Yes,PROTOTYPE_ESTIMATE,Generated estimate for FIT ERA development; replace with verified reference values before clinical/commercial nutrition use.
FERA00043,Pearl millet,Cereals & Grains,100 g/ml,285.8,7.8,62.36,2.6,6.06,6.24,138.6,69.3,1.04,0.9,17.3,Yes,Yes,PROTOTYPE_ESTIMATE,Generated estimate for FIT ERA development; replace with verified reference values before clinical/commercial nutrition use.
FERA00044,Pearl millet,Cereals & Grains,150 g/ml,428.7,11.69,93.54,3.9,9.09,9.35,207.9,103.9,1.56,1.3,26,Yes,Yes,PROTOTYPE_ESTIMATE,Generated estimate for FIT ERA development; replace with verified reference values before clinical/commercial nutrition use.
FERA00045,Pearl millet,Cereals & Grains,200 g/ml,571.6,15.59,124.72,5.2,12.13,12.47,277.2,138.6,2.08,1.7,34.6,Yes,Yes,PROTOTYPE_ESTIMATE,Generated estimate for FIT ERA development; replace with verified reference values before clinical/commercial nutrition use.
FERA00046,Finger millet,Cereals & Grains,25 g/ml,81,2.21,17.68,0.74,1.72,1.77,39.3,19.6,0.29,0.2,4.9,Yes,Yes,PROTOTYPE_ESTIMATE,Generated estimate for FIT ERA development; replace with verified reference values before clinical/commercial nutrition use.
FERA00047,Finger millet,Cereals & Grains,50 g/ml,162.1,4.42,35.36,1.47,3.44,3.54,78.6,39.3,0.59,0.5,9.8,Yes,Yes,PROTOTYPE_ESTIMATE,Generated estimate for FIT ERA development; replace with verified reference values before clinical/commercial nutrition use.
FERA00048,Finger millet,Cereals & Grains,100 g/ml,324.1,8.84,70.71,2.95,6.87,7.07,157.1,78.6,1.18,1,19.6,Yes,Yes,PROTOTYPE_ESTIMATE,Generated estimate for FIT ERA development; replace with verified reference values before clinical/commercial nutrition use.
FERA00049,Finger millet,Cereals & Grains,150 g/ml,486.2,13.26,106.07,4.42,10.31,10.61,235.7,117.9,1.77,1.5,29.5,Yes,Yes,PROTOTYPE_ESTIMATE,Generated estimate for FIT ERA development; replace with verified reference values before clinical/commercial nutrition use.
FERA00050,Finger millet,Cereals & Grains,200 g/ml,648.2,17.68,141.43,5.89,13.75,14.14,314.3,157.1,2.36,2,39.3,Yes,Yes,PROTOTYPE_ESTIMATE,Generated estimate for FIT ERA development; replace with verified reference values before clinical/commercial nutrition use.
FERA00051,Foxtail millet,Cereals & Grains,25 g/ml,78.7,2.15,17.16,0.72,1.67,1.72,38.1,19.1,0.29,0.2,4.8,Yes,Yes,PROTOTYPE_ESTIMATE,Generated estimate for FIT ERA development; replace with verified reference values before clinical/commercial nutrition use.
FERA00052,Foxtail millet,Cereals & Grains,50 g/ml,157.3,4.29,34.33,1.43,3.34,3.43,76.3,38.1,0.57,0.5,9.5,Yes,Yes,PROTOTYPE_ESTIMATE,Generated estimate for FIT ERA development; replace with verified reference values before clinical/commercial nutrition use.
FERA00053,Foxtail millet,Cereals & Grains,100 g/ml,314.7,8.58,68.65,2.86,6.67,6.87,152.6,76.3,1.14,1,19.1,Yes,Yes,PROTOTYPE_ESTIMATE,Generated estimate for FIT ERA development; replace with verified reference values before clinical/commercial nutrition use.
FERA00054,Foxtail millet,Cereals & Grains,150 g/ml,472,12.87,102.98,4.29,10.01,10.3,228.8,114.4,1.72,1.4,28.6,Yes,Yes,PROTOTYPE_ESTIMATE,Generated estimate for FIT ERA development; replace with verified reference values before clinical/commercial nutrition use.
FERA00055,Foxtail millet,Cereals & Grains,200 g/ml,629.3,17.16,137.3,5.72,13.35,13.73,305.1,152.6,2.29,1.9,38.1,Yes,Yes,PROTOTYPE_ESTIMATE,Generated estimate for FIT ERA development; replace with verified reference values before clinical/commercial nutrition use.
